date,股票代码,open,close,high,low,volume
,,AMZN,AMZN,AMZN,AMZN,AMZN
2024-08-01,AMZN,189.2899932861328,184.07000732421875,190.60000610351562,181.8699951171875,70435600
2024-08-02,AMZN,166.75,167.89999389648438,168.77000427246094,160.5500030517578,141448400
2024-08-05,AMZN,154.2100067138672,161.02000427246094,162.9600067138672,151.61000061035156,83149400
2024-08-06,AMZN,161.7100067138672,161.92999267578125,165.0800018310547,158.5399932861328,59950800
2024-08-07,AMZN,166.5500030517578,162.77000427246094,167.5800018310547,161.42999267578125,48408200
2024-08-08,AMZN,165.1699981689453,165.8000030517578,166.69000244140625,162.5500030517578,44616200
2024-08-09,AMZN,166.39999389648438,166.94000244140625,168.5500030517578,165.85000610351562,36401000
2024-08-12,AMZN,168.13999938964844,166.8000030517578,168.5500030517578,166.11000061035156,30072800
2024-08-13,AMZN,167.80999755859375,170.22999572753906,171.0399932861328,167.10000610351562,39237900
2024-08-14,AMZN,172.11000061035156,170.10000610351562,172.27999877929688,168.86000061035156,28843800
2024-08-15,AMZN,174.86000061035156,177.58999633789062,177.91000366210938,173.99000549316406,51698500
2024-08-16,AMZN,177.0399932861328,177.05999755859375,178.33999633789062,176.25999450683594,31489200
2024-08-19,AMZN,177.63999938964844,178.22000122070312,178.3000030517578,176.16000366210938,31129800
2024-08-20,AMZN,177.9199981689453,178.8800048828125,179.00999450683594,177.42999267578125,26255200
2024-08-21,AMZN,179.9199981689453,180.11000061035156,182.38999938964844,178.88999938964844,35599100
2024-08-22,AMZN,181.3800048828125,176.1300048828125,181.47000122070312,175.67999267578125,32047500
2024-08-23,AMZN,177.33999633789062,177.0399932861328,178.97000122070312,175.24000549316406,29150100
2024-08-26,AMZN,176.6999969482422,175.5,177.47000122070312,174.3000030517578,22366200
2024-08-27,AMZN,174.14999389648438,173.1199951171875,174.88999938964844,172.25,29842000
2024-08-28,AMZN,173.69000244140625,170.8000030517578,173.69000244140625,168.9199981689453,29045000
2024-08-29,AMZN,173.22000122070312,172.1199951171875,174.2899932861328,170.80999755859375,26407800
2024-08-30,AMZN,172.77999877929688,178.5,178.89999389648438,172.60000610351562,43429400
2024-09-03,AMZN,177.5500030517578,176.25,178.25999450683594,175.25999450683594,37817500
2024-09-04,AMZN,174.47999572753906,173.3300018310547,175.97999572753906,172.5399932861328,30309200
2024-09-05,AMZN,175.0,177.88999938964844,179.8800048828125,175.0,40170500
2024-09-06,AMZN,177.24000549316406,171.38999938964844,178.3800048828125,171.16000366210938,41466500
2024-09-09,AMZN,174.52999877929688,175.39999389648438,175.85000610351562,173.50999450683594,29037400
2024-09-10,AMZN,177.49000549316406,179.5500030517578,180.5,176.7899932861328,36233800
2024-09-11,AMZN,180.10000610351562,184.52000427246094,184.99000549316406,175.72999572753906,42564700
2024-09-12,AMZN,184.8000030517578,187.0,187.41000366210938,183.5399932861328,33544200
2024-09-13,AMZN,187.0,186.49000549316406,188.5,185.91000366210938,26495400
2024-09-16,AMZN,185.2899932861328,184.88999938964844,185.80999755859375,183.36000061035156,26065500
2024-09-17,AMZN,186.85000610351562,186.8800048828125,189.4499969482422,186.13999938964844,26091700
2024-09-18,AMZN,186.4499969482422,186.42999267578125,188.8000030517578,185.05999755859375,34448100
2024-09-19,AMZN,190.0399932861328,189.8699951171875,190.99000549316406,188.47000122070312,39543200
2024-09-20,AMZN,190.22999572753906,191.60000610351562,191.83999633789062,187.41000366210938,100378600
2024-09-23,AMZN,191.63999938964844,193.8800048828125,194.4499969482422,190.57000732421875,36993100
2024-09-24,AMZN,194.27000427246094,193.9600067138672,195.3699951171875,190.1300048828125,43478900
2024-09-25,AMZN,193.75,192.52999877929688,193.9499969482422,192.16000366210938,26391100
2024-09-26,AMZN,194.30999755859375,191.16000366210938,194.52999877929688,189.5399932861328,36334900
2024-09-27,AMZN,190.67999267578125,187.97000122070312,190.89999389648438,187.33999633789062,36002300
2024-09-30,AMZN,187.13999938964844,186.3300018310547,188.49000549316406,184.64999389648438,41583900
2024-10-01,AMZN,184.89999389648438,185.1300048828125,186.19000244140625,183.4499969482422,36044900
2024-10-02,AMZN,184.44000244140625,184.75999450683594,186.60000610351562,184.0399932861328,23704100
2024-10-03,AMZN,183.0500030517578,181.9600067138672,183.44000244140625,180.8800048828125,30204300
2024-10-04,AMZN,185.75,186.50999450683594,187.60000610351562,183.60000610351562,40890300
2024-10-07,AMZN,182.9499969482422,180.8000030517578,183.60000610351562,180.25,42364200
2024-10-08,AMZN,181.9199981689453,182.72000122070312,183.08999633789062,180.9199981689453,26372100
2024-10-09,AMZN,182.82000732421875,185.1699981689453,185.85000610351562,182.0500030517578,26343100
2024-10-10,AMZN,187.1300048828125,186.64999389648438,188.1300048828125,185.8300018310547,27785000
2024-10-11,AMZN,186.6300048828125,188.82000732421875,189.92999267578125,186.3000030517578,25751600
2024-10-14,AMZN,189.77999877929688,187.5399932861328,189.8300018310547,187.36000061035156,22614400
2024-10-15,AMZN,187.6300048828125,187.69000244140625,188.41000366210938,184.5800018310547,32178900
2024-10-16,AMZN,187.0500030517578,186.88999938964844,187.77999877929688,185.61000061035156,23456800
2024-10-17,AMZN,188.22000122070312,187.52999877929688,188.94000244140625,186.0,25039400
2024-10-18,AMZN,187.14999389648438,188.99000549316406,190.74000549316406,186.27999877929688,37417700
2024-10-21,AMZN,188.0500030517578,189.07000732421875,189.4600067138672,186.39999389648438,24639400
2024-10-22,AMZN,188.35000610351562,189.6999969482422,191.52000427246094,186.97999572753906,29650600
2024-10-23,AMZN,188.85000610351562,184.7100067138672,189.16000366210938,183.69000244140625,31937100
2024-10-24,AMZN,185.25,186.3800048828125,187.11000061035156,183.86000061035156,21647400
2024-10-25,AMZN,187.85000610351562,187.8300018310547,190.4499969482422,187.52999877929688,29362100
2024-10-28,AMZN,189.57000732421875,188.38999938964844,190.2100067138672,188.2100067138672,27930800
2024-10-29,AMZN,188.5800018310547,190.8300018310547,191.4600067138672,187.82000732421875,35690200
2024-10-30,AMZN,194.6999969482422,192.72999572753906,195.61000061035156,192.4199981689453,37707600
2024-10-31,AMZN,190.50999450683594,186.39999389648438,190.60000610351562,185.22999572753906,75146800
2024-11-01,AMZN,199.0,197.92999267578125,200.5,197.02000427246094,99687800
2024-11-04,AMZN,196.4499969482422,195.77999877929688,197.3300018310547,194.30999755859375,38492100
2024-11-05,AMZN,196.0399932861328,199.5,199.82000732421875,195.99000549316406,30564800
2024-11-06,AMZN,200.00999450683594,207.08999633789062,207.5500030517578,199.13999938964844,72292200
2024-11-07,AMZN,207.44000244140625,210.0500030517578,212.25,207.19000244140625,52878400
2024-11-08,AMZN,209.72000122070312,208.17999267578125,209.9600067138672,207.44000244140625,36075800
2024-11-11,AMZN,208.5,206.83999633789062,209.64999389648438,205.58999633789062,35456000
2024-11-12,AMZN,208.3699951171875,208.91000366210938,209.5399932861328,206.00999450683594,38942900
2024-11-13,AMZN,209.39999389648438,214.10000610351562,215.08999633789062,209.13999938964844,46212900
2024-11-14,AMZN,214.16000366210938,211.47999572753906,215.89999389648438,210.8800048828125,42620300
2024-11-15,AMZN,206.75999450683594,202.61000061035156,207.33999633789062,199.61000061035156,86591100
2024-11-18,AMZN,204.14999389648438,201.6999969482422,204.6699981689453,200.9499969482422,36409900
2024-11-19,AMZN,199.3300018310547,204.61000061035156,205.3000030517578,198.77999877929688,31197900
2024-11-20,AMZN,202.97999572753906,202.8800048828125,203.1300048828125,199.4499969482422,32769000
2024-11-21,AMZN,203.49000549316406,198.3800048828125,203.49000549316406,195.75,58800000
2024-11-22,AMZN,198.25,197.1199951171875,199.25999450683594,196.75,31530800
2024-11-25,AMZN,199.27999877929688,201.4499969482422,201.9499969482422,199.0,40685700
2024-11-26,AMZN,201.89999389648438,207.86000061035156,208.0,201.7899932861328,41673700
2024-11-27,AMZN,206.97999572753906,205.74000549316406,207.63999938964844,205.0500030517578,28061600
2024-11-29,AMZN,205.8300018310547,207.88999938964844,208.1999969482422,204.58999633789062,24892400
2024-12-02,AMZN,209.9600067138672,210.7100067138672,212.99000549316406,209.50999450683594,39523200
2024-12-03,AMZN,210.30999755859375,213.44000244140625,214.02000427246094,209.64999389648438,32214800
2024-12-04,AMZN,215.9600067138672,218.16000366210938,220.0,215.75,48745700
2024-12-05,AMZN,218.02999877929688,220.5500030517578,222.14999389648438,217.3000030517578,41140200
2024-12-06,AMZN,220.75,227.02999877929688,227.14999389648438,220.60000610351562,44178100
2024-12-09,AMZN,227.2100067138672,226.08999633789062,230.0800018310547,225.6699981689453,46819400
2024-12-10,AMZN,226.08999633789062,225.0399932861328,229.05999755859375,224.1999969482422,31199900
2024-12-11,AMZN,226.41000366210938,230.25999450683594,231.1999969482422,226.25999450683594,35385800
2024-12-12,AMZN,229.8300018310547,228.97000122070312,231.08999633789062,227.6300048828125,28204100
2024-12-13,AMZN,228.39999389648438,227.4600067138672,230.1999969482422,225.86000061035156,28768100
2024-12-16,AMZN,230.22999572753906,232.92999267578125,233.0,228.00999450683594,37552100
2024-12-17,AMZN,232.38999938964844,231.14999389648438,232.72999572753906,227.85000610351562,35948100
2024-12-18,AMZN,230.77000427246094,220.52000427246094,231.39999389648438,220.11000061035156,43281400
2024-12-19,AMZN,224.91000366210938,223.2899932861328,226.08999633789062,222.9199981689453,39918700
2024-12-20,AMZN,219.83999633789062,224.9199981689453,226.2100067138672,218.72999572753906,88279200
2024-12-23,AMZN,225.00999450683594,225.05999755859375,226.8800048828125,223.89999389648438,28070000
