date,股票代码,open,close,high,low,volume
,,META,META,META,META,META
2025-08-14 13:30:00+00:00,META,777.8800048828125,780.9910278320312,780.9998779296875,772.5399780273438,1082454
2025-08-14 13:45:00+00:00,META,780.72998046875,781.8350219726562,783.635009765625,779.6732177734375,513642
2025-08-14 14:00:00+00:00,META,781.9000244140625,778.77197265625,782.0700073242188,777.7000732421875,317281
2025-08-14 14:15:00+00:00,META,778.6599731445312,782.7100219726562,782.9022216796875,778.6599731445312,272319
2025-08-14 14:30:00+00:00,META,782.7899780273438,785.8800048828125,786.1699829101562,781.7000122070312,348833
2025-08-14 14:45:00+00:00,META,785.9749755859375,785.89990234375,787.8099975585938,784.580078125,502868
2025-08-14 15:00:00+00:00,META,785.8250122070312,786.5499877929688,786.989990234375,785.360107421875,209100
2025-08-14 15:15:00+00:00,META,786.5700073242188,783.3200073242188,787.219970703125,782.4400024414062,348750
2025-08-14 15:30:00+00:00,META,783.39599609375,784.7426147460938,784.9813232421875,782.72998046875,191081
2025-08-14 15:45:00+00:00,META,784.8200073242188,786.9600219726562,787.4398803710938,784.7401123046875,216978
2025-08-14 16:00:00+00:00,META,787.1300048828125,784.27099609375,787.1300048828125,784.0001220703125,199409
2025-08-14 16:15:00+00:00,META,784.1300048828125,784.9149780273438,786.7999877929688,783.9957275390625,171657
2025-08-14 16:30:00+00:00,META,785.10498046875,784.75,786.2000122070312,784.3629760742188,107111
2025-08-14 16:45:00+00:00,META,784.7000122070312,786.8250122070312,786.8250122070312,783.97998046875,212878
2025-08-14 17:00:00+00:00,META,786.8250122070312,787.0670776367188,787.25,786.2000122070312,153295
2025-08-14 17:15:00+00:00,META,786.9500122070312,787.14501953125,787.4000244140625,785.8101196289062,126957
2025-08-14 17:30:00+00:00,META,787.1599731445312,785.291015625,787.2971801757812,784.7999877929688,134086
2025-08-14 17:45:00+00:00,META,785.0269775390625,784.72998046875,785.280029296875,783.4805297851562,137110
2025-08-14 18:00:00+00:00,META,784.4299926757812,783.2299194335938,784.6500244140625,782.780029296875,144304
2025-08-14 18:15:00+00:00,META,782.913330078125,781.8900146484375,783.3099975585938,781.219970703125,187295
2025-08-14 18:30:00+00:00,META,781.739990234375,783.1300048828125,783.280029296875,781.72998046875,137848
2025-08-14 18:45:00+00:00,META,783.1160888671875,783.469970703125,784.0650024414062,782.8800048828125,150600
2025-08-14 19:00:00+00:00,META,783.47998046875,783.8499755859375,784.0999755859375,783.239990234375,129478
2025-08-14 19:15:00+00:00,META,783.6749877929688,783.0900268554688,783.8400268554688,782.3099975585938,245698
2025-08-14 19:30:00+00:00,META,782.989990234375,783.4799194335938,783.572021484375,782.0,199378
2025-08-14 19:45:00+00:00,META,783.3800048828125,781.8200073242188,783.8298950195312,781.8200073242188,481262
2025-08-15 13:30:00+00:00,META,784.3099975585938,786.17431640625,788.4000244140625,781.0,1431061
2025-08-15 13:45:00+00:00,META,786.0349731445312,787.4149780273438,787.5800170898438,782.719970703125,461929
2025-08-15 14:00:00+00:00,META,787.0,793.2999877929688,793.4500122070312,785.0999755859375,1008354
2025-08-15 14:15:00+00:00,META,793.4047241210938,795.52001953125,796.2476196289062,792.1400146484375,1020795
2025-08-15 14:30:00+00:00,META,795.4600219726562,791.75,795.4600219726562,791.0401000976562,595786
2025-08-15 14:45:00+00:00,META,791.8599853515625,791.5549926757812,792.2949829101562,790.5050048828125,336196
2025-08-15 15:00:00+00:00,META,791.5549926757812,791.7100219726562,791.9400024414062,790.02001953125,254096
2025-08-15 15:15:00+00:00,META,791.77001953125,789.7000122070312,791.77001953125,789.52099609375,215058
2025-08-15 15:30:00+00:00,META,789.4099731445312,786.1939697265625,790.0772705078125,786.0599975585938,277981
2025-08-15 15:45:00+00:00,META,786.1599731445312,788.6719970703125,789.8139038085938,786.0800170898438,318935
2025-08-15 16:00:00+00:00,META,788.7000122070312,789.8350219726562,789.9299926757812,787.75,164170
2025-08-15 16:15:00+00:00,META,789.8742065429688,789.6799926757812,790.7999267578125,789.469970703125,196663
2025-08-15 16:30:00+00:00,META,789.6599731445312,789.5999755859375,790.489990234375,789.3900756835938,131095
2025-08-15 16:45:00+00:00,META,789.60498046875,791.0001220703125,791.5198974609375,789.4000244140625,181274
2025-08-15 17:00:00+00:00,META,791.2598876953125,789.9099731445312,791.260009765625,789.4000244140625,140972
2025-08-15 17:15:00+00:00,META,789.9600219726562,788.8099975585938,790.2999877929688,788.5700073242188,136625
