,0
0,1000000.0
1,1000000.0
2,1000000.0
3,1000000.0
4,1000000.0
5,1000000.0
6,1000000.0
7,1000000.0
8,1000000.0
9,1000000.0
10,1000000.0
11,1000000.0
12,1000000.0
13,1000000.0
14,1000000.0
15,1000000.0
16,1000000.0
17,1000000.0
18,1000000.0
19,1000000.0
20,1000000.0
21,1000000.0
22,1000000.0
23,1000000.0
24,1000000.0
25,1000000.0
26,1000000.0
27,1000000.0
28,1000000.0
29,1000000.0
30,1000000.0
31,1000000.0
32,1000000.0
33,1000000.0
34,1000000.0
35,1000000.0
36,1000000.0
37,1000000.0
38,1000000.0
39,1000000.0
40,1000000.0
41,1000000.0
42,1000000.0
43,1000000.0
44,1000000.0
45,1000000.0
46,1000000.0
47,1000000.0
48,1000000.0
49,1000000.0
50,1000000.0
51,1000000.0
52,1000000.0
53,1000000.0
54,1000000.0
55,1000000.0
56,1000000.0
57,1000000.0
58,1000000.0
59,1000000.0
60,1000000.0
61,1000000.0
62,1000000.0
63,1000000.0
64,971141.8521467028
65,970937.912357752
66,970937.912357752
67,970937.912357752
68,971185.2258000106
69,970981.2769025926
70,970981.2769025926
71,970981.2769025926
72,970981.2769025926
73,970981.2769025926
74,970981.2769025926
75,970981.2769025926
76,970981.2769025926
77,970981.2769025926
78,970981.2769025926
79,970981.2769025926
80,970981.2769025926
81,970981.2769025926
82,970981.2769025926
83,970981.2769025926
84,970981.2769025926
85,970981.2769025926
86,970981.2769025926
87,970981.2769025926
88,970981.2769025926
89,970981.2769025926
90,970981.2769025926
91,970981.2769025926
92,970981.2769025926
93,970981.2769025926
94,970981.2769025926
95,970981.2769025926
96,970981.2769025926
97,970981.2769025926
98,970981.2769025926
99,970981.2769025926
100,987733.2489672469
101,978212.5250136596
102,978007.1003834067
103,978007.1003834067
104,978007.1003834067
105,978007.1003834067
106,978007.1003834067
107,978007.1003834067
108,978007.1003834067
109,978007.1003834067
110,978007.1003834067
111,978007.1003834067
112,978007.1003834067
113,978007.1003834067
114,978007.1003834067
115,978007.1003834067
116,978007.1003834067
117,978007.1003834067
118,978007.1003834067
119,978007.1003834067
120,978007.1003834067
121,978007.1003834067
122,992793.1760157575
123,992584.6894487941
124,992584.6894487941
125,992584.6894487941
126,992584.6894487941
127,992584.6894487941
128,991705.2845558262
129,991497.0264460694
130,991497.0264460694
131,991497.0264460694
132,991497.0264460694
133,991497.0264460694
134,991497.0264460694
135,991497.0264460694
136,991497.0264460694
137,991497.0264460694
138,991497.0264460694
139,991497.0264460694
140,991497.0264460694
141,991497.0264460694
142,991497.0264460694
143,991497.0264460694
144,991497.0264460694
145,991497.0264460694
146,991497.0264460694
147,991497.0264460694
148,991497.0264460694
149,991497.0264460694
150,991497.0264460694
151,991497.0264460694
152,991497.0264460694
153,991497.0264460694
154,991497.0264460694
155,991497.0264460694
156,991497.0264460694
157,991497.0264460694
158,991497.0264460694
159,991497.0264460694
160,991497.0264460694
161,991497.0264460694
162,991497.0264460694
163,991497.0264460694
164,991497.0264460694
165,991497.0264460694
166,991497.0264460694
167,991497.0264460694
168,991497.0264460694
169,991497.0264460694
170,1007129.8144159965
171,1006918.3171549692
172,1006918.3171549692
173,1006918.3171549692
174,1006918.3171549692
175,1022383.9271125817
176,1022169.2264878879
177,1022169.2264878879
178,1022169.2264878879
179,1022169.2264878879
180,1022169.2264878879
181,1022169.2264878879
182,1022169.2264878879
183,1022169.2264878879
184,1022169.2264878879
185,1022169.2264878879
186,1022169.2264878879
187,1022169.2264878879
188,1022169.2264878879
189,1022169.2264878879
190,1022169.2264878879
191,1022169.2264878879
192,1022169.2264878879
193,1022169.2264878879
194,1022169.2264878879
195,1022169.2264878879
196,1022169.2264878879
197,1022169.2264878879
198,1022169.2264878879
199,1022169.2264878879
200,1022169.2264878879
201,1022169.2264878879
202,1022169.2264878879
203,1022169.2264878879
204,1022169.2264878879
205,1022169.2264878879
206,1022169.2264878879
207,1022169.2264878879
208,1022169.2264878879
209,1022169.2264878879
210,1022169.2264878879
211,1022169.2264878879
212,1022169.2264878879
213,1022169.2264878879
214,1022169.2264878879
215,1022169.2264878879
216,1022169.2264878879
217,1022169.2264878879
218,1022169.2264878879
219,1022169.2264878879
220,1022169.2264878879
221,1022169.2264878879
222,1022169.2264878879
223,1022169.2264878879
224,1022169.2264878879
225,1022169.2264878879
226,1022169.2264878879
227,1022169.2264878879
228,1022169.2264878879
229,1022169.2264878879
230,1022169.2264878879
231,1022169.2264878879
232,1022169.2264878879
233,1022169.2264878879
234,1022169.2264878879
235,1022169.2264878879
236,1022169.2264878879
237,1022169.2264878879
238,1022169.2264878879
239,1022169.2264878879
240,1022169.2264878879
241,1022169.2264878879
242,1022169.2264878879
243,1022169.2264878879
244,1022169.2264878879
245,1022169.2264878879
246,1022169.2264878879
247,1022169.2264878879
248,1022169.2264878879
249,1102469.8012657694
