,0
0,1000000.0
1,1000000.0
2,1000000.0
3,1000000.0
4,1000000.0
5,1000000.0
6,1000000.0
7,1000000.0
8,1000000.0
9,1000000.0
10,1000000.0
11,1000000.0
12,1000000.0
13,1000000.0
14,1000000.0
15,1000000.0
16,1000000.0
17,1000000.0
18,1000000.0
19,1000000.0
20,1000000.0
21,1000000.0
22,1000000.0
23,1000000.0
24,1000000.0
25,1000000.0
26,1000000.0
27,1000000.0
28,1000000.0
29,1000000.0
30,1000000.0
31,1000000.0
32,1000000.0
33,1000000.0
34,1000000.0
35,1000000.0
36,1000000.0
37,1000000.0
38,1000000.0
39,1000000.0
40,1000000.0
41,1000000.0
42,1000000.0
43,1000000.0
44,1000000.0
45,1000000.0
46,1000000.0
47,1000000.0
48,1000000.0
49,1000000.0
50,1000000.0
51,1000000.0
52,1000000.0
53,1000000.0
54,1000000.0
55,1000000.0
56,1000000.0
57,1000000.0
58,1000000.0
59,1000000.0
60,1000000.0
61,1000000.0
62,1000000.0
63,1000000.0
64,1000000.0
65,1000000.0
66,1000000.0
67,1000000.0
68,1000000.0
69,1000000.0
70,1000000.0
71,1000000.0
72,1000000.0
73,1000000.0
74,1000000.0
75,1000000.0
76,1000000.0
77,1000000.0
78,1000000.0
79,1000000.0
80,1000000.0
81,1000000.0
82,1000000.0
83,1000000.0
84,1000000.0
85,1000000.0
86,1000000.0
87,1000000.0
88,1000000.0
89,1000000.0
90,1011236.5667911432
91,1011024.207112117
92,1011024.207112117
93,1011024.207112117
94,1011024.207112117
95,1011024.207112117
96,1011024.207112117
97,1011024.207112117
98,1011024.207112117
99,1011024.207112117
100,1011024.207112117
101,1011024.207112117
102,1011024.207112117
103,1011024.207112117
104,1011024.207112117
105,1011024.207112117
106,1011024.207112117
107,1011024.207112117
108,1011024.207112117
109,1011024.207112117
110,1011024.207112117
111,1011024.207112117
112,1011024.207112117
113,1011024.207112117
114,1011024.207112117
115,1011024.207112117
116,1011024.207112117
117,1011024.207112117
118,1011024.207112117
119,1011024.207112117
120,1011024.207112117
121,1011024.207112117
122,1011024.207112117
123,1011024.207112117
124,1011024.207112117
125,1008566.148659189
126,1008354.3497679705
127,1008354.3497679705
128,1008354.3497679705
129,1008354.3497679705
130,1008354.3497679705
131,1008354.3497679705
132,1008354.3497679705
133,1008354.3497679705
134,1008354.3497679705
135,1008354.3497679705
136,1008354.3497679705
137,1008354.3497679705
138,1008354.3497679705
139,1008354.3497679705
140,1008354.3497679705
141,1008354.3497679705
142,1008354.3497679705
143,1008354.3497679705
144,1008354.3497679705
145,1008354.3497679705
146,1008354.3497679705
147,1008354.3497679705
148,1008354.3497679705
149,1008354.3497679705
150,976926.258591623
151,976721.1040773188
152,976721.1040773188
153,976721.1040773188
154,976721.1040773188
155,976721.1040773188
156,976721.1040773188
157,976721.1040773188
158,976721.1040773188
159,976721.1040773188
160,976721.1040773188
161,976721.1040773188
162,976721.1040773188
163,976721.1040773188
164,976721.1040773188
165,976721.1040773188
166,976721.1040773188
167,976721.1040773188
168,976721.1040773188
169,976721.1040773188
170,976721.1040773188
171,976721.1040773188
172,976721.1040773188
173,976721.1040773188
174,976721.1040773188
175,976721.1040773188
176,976721.1040773188
177,976721.1040773188
178,976721.1040773188
179,976721.1040773188
180,976721.1040773188
181,976721.1040773188
182,976721.1040773188
183,976721.1040773188
184,976721.1040773188
185,976721.1040773188
186,976721.1040773188
187,976721.1040773188
188,976721.1040773188
189,976721.1040773188
190,976721.1040773188
191,976721.1040773188
192,975141.252036196
193,974936.4723732683
194,974936.4723732683
195,974936.4723732683
196,974936.4723732683
197,974936.4723732683
198,974936.4723732683
199,974936.4723732683
200,974936.4723732683
201,974936.4723732683
202,974936.4723732683
203,974936.4723732683
204,974936.4723732683
205,974936.4723732683
206,974936.4723732683
207,974936.4723732683
208,974936.4723732683
209,974936.4723732683
210,974936.4723732683
211,974936.4723732683
212,974936.4723732683
213,978301.9560031448
214,978096.5125923841
215,978096.5125923841
216,978096.5125923841
217,978096.5125923841
218,978096.5125923841
219,978096.5125923841
220,978096.5125923841
221,978096.5125923841
222,978096.5125923841
223,978096.5125923841
224,978096.5125923841
225,978096.5125923841
226,978096.5125923841
227,978096.5125923841
228,978096.5125923841
229,978096.5125923841
230,978096.5125923841
231,978096.5125923841
232,978096.5125923841
233,978096.5125923841
234,978096.5125923841
235,978096.5125923841
236,978096.5125923841
237,978096.5125923841
238,978096.5125923841
239,978096.5125923841
240,978096.5125923841
241,978096.5125923841
242,978096.5125923841
243,978096.5125923841
244,978096.5125923841
245,978096.5125923841
246,978096.5125923841
247,978096.5125923841
248,978096.5125923841
249,978096.5125923841
