,0
0,1000000.0
1,1000000.0
2,1000000.0
3,1000000.0
4,1000000.0
5,1000000.0
6,1000000.0
7,1000000.0
8,1000000.0
9,1000000.0
10,1000000.0
11,1000000.0
12,1000000.0
13,1000000.0
14,1000000.0
15,1000000.0
16,1000000.0
17,1000000.0
18,1000000.0
19,1000000.0
20,1000000.0
21,1000000.0
22,1000000.0
23,1000000.0
24,1000000.0
25,1000000.0
26,1000000.0
27,1000000.0
28,1000000.0
29,1000000.0
30,1000000.0
31,1000000.0
32,1000000.0
33,1000000.0
34,1000000.0
35,1000000.0
36,1000000.0
37,1000000.0
38,1000000.0
39,1000000.0
40,1000000.0
41,1000000.0
42,1000000.0
43,1000000.0
44,1000000.0
45,1000000.0
46,1000000.0
47,1000000.0
48,1000000.0
49,1000000.0
50,1000000.0
51,1000000.0
52,1000000.0
53,1000000.0
54,1000000.0
55,1000000.0
56,1000000.0
57,1000000.0
58,1000000.0
59,1000000.0
60,1000000.0
61,1000000.0
62,1000000.0
63,1000000.0
64,1000000.0
65,1000308.0384201137
66,991887.6992804598
67,976920.3550507735
68,976056.0579608305
69,952176.6797560788
70,951976.72265333
71,951976.72265333
72,951976.72265333
73,951976.72265333
74,951976.72265333
75,951976.72265333
76,951976.72265333
77,951976.72265333
78,951976.72265333
79,951976.72265333
80,951976.72265333
81,951976.72265333
82,951976.72265333
83,946734.4338872456
84,940375.751824671
85,940178.2729167878
86,963093.9555484907
87,962891.7058178256
88,962891.7058178256
89,962891.7058178256
90,962891.7058178256
91,962891.7058178256
92,962891.7058178256
93,962891.7058178256
94,962891.7058178256
95,962891.7058178256
96,962891.7058178256
97,962891.7058178256
98,964517.9201902479
99,964315.371427008
100,964315.371427008
101,964315.371427008
102,964315.371427008
103,964315.371427008
104,964315.371427008
105,964315.371427008
106,964315.371427008
107,964315.371427008
108,964315.371427008
109,964315.371427008
110,964315.371427008
111,964315.371427008
112,964315.371427008
113,964315.371427008
114,964315.371427008
115,964315.371427008
116,964315.371427008
117,964315.371427008
118,964315.371427008
119,964315.371427008
120,975821.9454442614
121,975617.022835718
122,975617.022835718
123,975617.022835718
124,975617.022835718
125,975617.022835718
126,975617.022835718
127,975617.022835718
128,975617.022835718
129,975617.022835718
130,975617.022835718
131,975617.022835718
132,975617.022835718
133,975617.022835718
134,975617.022835718
135,975617.022835718
136,975617.022835718
137,975617.022835718
138,975617.022835718
139,975617.022835718
140,975617.022835718
141,975617.022835718
142,975617.022835718
143,975617.022835718
144,975617.022835718
145,975617.022835718
146,991102.7638232626
147,990894.6322428598
148,990894.6322428598
149,990894.6322428598
150,990894.6322428598
151,990894.6322428598
152,990894.6322428598
153,990894.6322428598
154,990894.6322428598
155,990894.6322428598
156,990894.6322428598
157,990894.6322428598
158,990894.6322428598
159,990894.6322428598
160,990894.6322428598
161,990894.6322428598
162,990894.6322428598
163,990894.6322428598
164,990894.6322428598
165,990894.6322428598
166,990894.6322428598
167,990894.6322428598
168,990894.6322428598
169,990894.6322428598
170,990894.6322428598
171,990894.6322428598
172,990894.6322428598
173,990894.6322428598
174,990894.6322428598
175,990894.6322428598
176,990894.6322428598
177,990894.6322428598
178,990894.6322428598
179,990894.6322428598
180,990894.6322428598
181,990894.6322428598
182,990894.6322428598
183,990894.6322428598
184,990894.6322428598
185,990894.6322428598
186,990894.6322428598
187,990894.6322428598
188,990894.6322428598
189,990894.6322428598
190,990894.6322428598
191,990894.6322428598
192,990894.6322428598
193,990894.6322428598
194,990894.6322428598
195,990894.6322428598
196,990894.6322428598
197,990894.6322428598
198,990894.6322428598
199,990894.6322428598
200,990894.6322428598
201,990894.6322428598
202,990894.6322428598
203,990894.6322428598
204,1007566.5127281732
205,1007354.9237605002
206,1007354.9237605002
207,1007354.9237605002
208,1007354.9237605002
209,1007354.9237605002
210,1007354.9237605002
211,1007354.9237605002
212,1007354.9237605002
213,1007354.9237605002
214,1007354.9237605002
215,1007354.9237605002
216,1007354.9237605002
217,1007354.9237605002
218,1007354.9237605002
219,1007354.9237605002
220,1007354.9237605002
221,1007354.9237605002
222,1007354.9237605002
223,1007354.9237605002
224,1007354.9237605002
225,1007354.9237605002
226,1007354.9237605002
227,1007354.9237605002
228,1007354.9237605002
229,1007354.9237605002
230,1007354.9237605002
231,1007354.9237605002
232,1007354.9237605002
233,1007354.9237605002
234,1007354.9237605002
235,1007354.9237605002
236,1007354.9237605002
237,1007354.9237605002
238,1007354.9237605002
239,1007354.9237605002
240,1007354.9237605002
241,1007354.9237605002
242,1007354.9237605002
243,1007354.9237605002
244,1007354.9237605002
245,1007354.9237605002
246,1007354.9237605002
247,1007354.9237605002
248,1007354.9237605002
249,1007354.9237605002
